Author_id,Author,Num_Authors,Occupation
A_1,A Tribe Called Red,1,
A_2,A. Dara Dotz,1,
A_3,A.J. Jacobs,1,
A_4,Aakash Odedra,1,Choreographer
A_5,Aala El-Khani,1,Humanitarian psychologist
A_6,"Aaron Duffy , Lake Buckley , Jack Foster",3,
A_7,Aaron Horowitz,1,
A_8,Aaron Huey,1,Photographer
A_9,Aaron Koblin,1,Data artist
A_10,Aaron Maniam,1,
A_11,Aaron Morris,1,
A_12,Aaron O'Connell,1,Physicist
A_13,Aaron Reedy,1,
A_14,Aaron Sams,1,
A_15,Aaswath Raman,1,
A_16,Aatish Bhatia,1,
A_17,Abbey Williams,1,
A_18,Abdallah Ewis,1,
A_19,Abe Davis,1,Computer scientist
A_20,Abha Dawesar,1,Novelist
A_21,Abhishek Gopalka,1,
A_22,Abigail Disney,1,
A_23,Abigail Marsh,1,Psychologist
A_24,Abigail Spanberger,1,
A_25,Abigail Washburn,1,Clawhammer banjo player
A_26,Abraham Verghese,1,Physician and author
A_27,Achenyo Idachaba,1,Green entrepreneur
A_28,Achim Steiner,1,
A_29,Achin Bhowmik,1,
A_30,Adam Alter,1,Psychologist
A_31,Adam Carroll,1,
A_32,Adam Clulow,1,
A_33,Adam Cutler,1,
A_34,Adam Davidson,1,Journalist
A_35,Adam de la Zerda,1,"Biologist, electrical engineer"
A_36,Adam Driver,1,Actor and Marine Corps veteran
A_37,Adam Galinsky,1,Social psychologist
A_38,Adam Garone,1,Moustache activist
A_39,Adam Garske,1,
A_40,Adam Grant,1,Organizational psychologist
A_41,Adam Grosser,1,Venture capitalist
A_42,Adam Kucharski,1,
A_43,Adam Ostrow,1,Journalist
A_44,Adam Sadowsky,1,Creative entrepreneur 
A_45,Adam Savage,1,"Maker, critical thinker"
A_46,Adam Spencer,1,Science communicator
A_47,Adar Cohen,1,
A_48,Addison Anderson,1,
A_49,Adena Friedman,1,
A_50,Adeola Fayehun,1,
A_51,Adie Delaney,1,
A_52,Aditi Gupta,1,"Social entrepreneur, co-founder of Menstrupedia"
A_53,Aditi Shankardass,1,Neuroscientist 
A_54,Adong Judith,1,
A_55,Adora Svitak,1,Child prodigy
A_56,Adri√°n Paenza,1,
A_57,Adrian K. Haugabrook,1,
A_58,Adrienne Mayor,1,
A_59,Afra Raymond,1,Transparency activist
A_60,Agnes Binagwaho,1,
A_61,Ahmad M. Hasnah,1,
A_62,Ahn Trio,1,Piano trio
A_63,Ai-jen Poo,1,
A_64,"Aicha el-Wafi , Phyllis Rodriguez",2,
A_65,Aicha Evans,1,
A_66,Aimee Eubanks Davis,1,
A_67,Aimee Mullins,1,Athlete and actor
A_68,"Aja Monet , phillip agnew",2,
A_69,Ajay Banga,1,
