Title_id,Title,Author_id,show_date,Views,Likes,Link
1,Innovations in sleep,A_458,1970-01-01,60000,1800,https://ted.com/talks/beautyrest_innovations_in_sleep
2,Love letters to what we hold dear,A_1093,1970-01-01,192000,5700,https://ted.com/talks/debbie_millman_love_letters_to_what_we_hold_dear
3,Why believe in others,A_4301,1972-05-01,1300000,41000,https://ted.com/talks/viktor_frankl_why_believe_in_others
4,Physics is fun to imagine,A_3527,1983-07-01,690000,20000,https://ted.com/talks/richard_feynman_physics_is_fun_to_imagine
5,"5 predictions, from 1984",A_3133,1984-02-01,1100000,33000,https://ted.com/talks/nicholas_negroponte_5_predictions_from_1984
6,My days as a young rebel,A_1453,1990-03-01,723000,21000,https://ted.com/talks/frank_gehry_my_days_as_a_young_rebel
7,Growing up in the universe,A_3525,1991-12-01,327000,9800,https://ted.com/talks/richard_dawkins_growing_up_in_the_universe
8,Back to the future (of 1994),A_973,1994-02-01,699000,20000,https://ted.com/talks/danny_hillis_back_to_the_future_of_1994
9,Changing my legs - and my mindset,A_68,1998-02-01,1300000,41000,https://ted.com/talks/aimee_mullins_changing_my_legs_and_my_mindset
10,Life in the deep oceans,A_1025,1998-02-01,1100000,34000,https://ted.com/talks/david_gallo_life_in_the_deep_oceans
11,Nature vs. humans,A_3295,1998-02-01,239000,7100,https://ted.com/talks/paul_maccready_nature_vs_humans
12,On technology and faith,A_524,1998-02-01,3800000,116000,https://ted.com/talks/billy_graham_on_technology_and_faith
13,Using design to make ideas new,A_2988,1998-02-01,488000,14000,https://ted.com/talks/milton_glaser_using_design_to_make_ideas_new
14,Why not make video games for girls?,A_560,1998-02-01,483000,14000,https://ted.com/talks/brenda_laurel_why_not_make_video_games_for_girls
15,How electroshock therapy changed me,A_3854,2001-02-01,2200000,66000,https://ted.com/talks/sherwin_nuland_how_electroshock_therapy_changed_me
16,Poetry of youth and age,A_606,2001-02-01,303000,9100,https://ted.com/talks/c_k_williams_poetry_of_youth_and_age
17,The difference between winning and succeeding,A_2109,2001-02-01,7000000,210000,https://ted.com/talks/john_wooden_the_difference_between_winning_and_succeeding
18,The playful search for beauty,A_1391,2001-02-01,527000,15000,https://ted.com/talks/eva_zeisel_the_playful_search_for_beauty
19,"Parrots, the universe and everything",A_1171,2001-05-01,500000,15000,https://ted.com/talks/douglas_adams_parrots_the_universe_and_everything
20,10 ways the world could end,A_3969,2002-02-01,1900000,59000,https://ted.com/talks/stephen_petranek_10_ways_the_world_could_end
21,"A master architect asks, Now what?",A_1453,2002-02-01,1100000,33000,https://ted.com/talks/frank_gehry_a_master_architect_asks_now_what
22,A memorial at Ground Zero,A_1065,2002-02-01,463000,13000,https://ted.com/talks/david_rockwell_a_memorial_at_ground_zero
23,A theory of everything,A_1301,2002-02-01,2600000,80000,https://ted.com/talks/emily_levine_a_theory_of_everything
24,An illustrated journey through Rome,A_1051,2002-02-01,785000,23000,https://ted.com/talks/david_macaulay_an_illustrated_journey_through_rome
25,Cape Breton fiddling in reel time,A_3087,2002-02-01,854000,25000,https://ted.com/talks/natalie_macmaster_cape_breton_fiddling_in_reel_time
26,Comics of bygone New York,A_471,2002-02-01,337000,10000,https://ted.com/talks/ben_katchor_comics_of_bygone_new_york
27,Dangerous memes,A_904,2002-02-01,2000000,61000,https://ted.com/talks/dan_dennett_dangerous_memes
28,Great cars are great art,A_750,2002-02-01,1000000,30000,https://ted.com/talks/chris_bangle_great_cars_are_great_art
29,Human-centered design,A_1040,2002-02-01,1100000,35000,https://ted.com/talks/david_kelley_human_centered_design
