ID,Category,Datex,Year,Month,Period,Season,Impressions,Clicks,CTR,Cost,CPC,Orders,Conversion,Demand,ROAS
1,BRAND,2/1/2016,2016,Feb,1,Spring,"3,278,382","1,234,813",37.70%,"$157,136 ",$0.13 ,"20,280",1.64%,"$5,199,777 ",$33.09 
2,BRAND,3/1/2016,2016,Mar,2,Spring,"4,374,829","1,431,878",32.70%,"$246,360 ",$0.17 ,"24,899",1.74%,"$6,725,427 ",$27.30 
3,BRAND,4/1/2016,2016,Apr,3,Spring,"4,416,526","1,377,674",31.20%,"$315,882 ",$0.23 ,"36,934",2.68%,"$9,697,822 ",$30.70 
4,BRAND,5/1/2016,2016,May,4,Spring,"3,863,013","1,183,250",30.60%,"$282,787 ",$0.24 ,"23,946",2.02%,"$6,104,568 ",$21.59 
5,BRAND,6/1/2016,2016,Jun,5,Spring,"4,401,149","1,364,172",31.00%,"$325,889 ",$0.24 ,"31,521",2.31%,"$7,803,417 ",$23.95 
6,BRAND,7/1/2016,2016,Jul,6,Spring,"2,797,597","993,932",35.50%,"$148,726 ",$0.15 ,"20,051",2.02%,"$4,654,704 ",$31.30 
7,BRAND,8/1/2016,2016,Aug,7,Fall,"2,721,981","955,664",35.10%,"$122,412 ",$0.13 ,"18,463",1.93%,"$4,492,658 ",$36.70 
8,BRAND,9/1/2016,2016,Sep,8,Fall,"4,386,324","1,308,647",29.80%,"$227,770 ",$0.17 ,"25,066",1.92%,"$7,034,797 ",$30.89 
9,BRAND,10/1/2016,2016,Oct,9,Fall,"3,961,315","1,252,933",31.60%,"$236,371 ",$0.19 ,"28,771",2.30%,"$9,153,743 ",$38.73 
10,BRAND,11/1/2016,2016,Nov,10,Fall,"4,164,348","1,424,487",34.20%,"$299,488 ",$0.21 ,"29,813",2.09%,"$8,194,048 ",$27.36 
11,BRAND,12/1/2016,2016,Dec,11,Fall,"6,879,987","2,500,755",36.30%,"$445,083 ",$0.18 ,"68,667",2.75%,"$15,572,638 ",$34.99 
12,BRAND,1/1/2017,2016,Jan,12,Fall,"3,917,609","1,204,309",30.70%,"$203,581 ",$0.17 ,"22,628",1.88%,"$5,444,939 ",$26.75 
13,BRAND,2/1/2017,2017,Feb,13,Spring,"5,638,096","1,090,283",19.30%,"$201,529 ",$0.18 ,"20,599",1.89%,"$5,109,803 ",$25.36 
14,BRAND,3/1/2017,2017,Mar,14,Spring,"4,658,765","1,363,146",29.30%,"$226,836 ",$0.17 ,"28,032",2.06%,"$7,280,890 ",$32.10 
15,BRAND,4/1/2017,2017,Apr,15,Spring,"3,535,745","1,135,055",32.10%,"$202,526 ",$0.18 ,"30,562",2.69%,"$7,814,830 ",$38.59 
16,BRAND,5/1/2017,2017,May,16,Spring,"3,493,654","1,065,306",30.50%,"$234,142 ",$0.22 ,"24,933",2.34%,"$6,316,872 ",$26.98 
17,BRAND,6/1/2017,2017,Jun,17,Spring,"4,171,629","1,247,145",29.90%,"$316,185 ",$0.25 ,"31,283",2.51%,"$7,537,030 ",$23.84 
18,BRAND,7/1/2017,2017,Jul,18,Spring,"3,011,704","898,132",29.80%,"$195,930 ",$0.22 ,"13,151",1.46%,"$3,394,803 ",$17.33 
19,BRAND,8/1/2017,2017,Aug,19,Fall,"2,770,681","847,082",30.60%,"$163,650 ",$0.19 ,"14,691",1.73%,"$3,868,898 ",$23.64 
20,BRAND,9/1/2017,2017,Sep,20,Fall,"3,691,965","1,153,859",31.30%,"$231,606 ",$0.20 ,"25,630",2.22%,"$6,892,494 ",$29.76 
21,BRAND,10/1/2017,2017,Oct,21,Fall,"3,350,532","1,023,174",30.50%,"$235,436 ",$0.23 ,"25,091",2.45%,"$6,711,676 ",$28.51 
22,BRAND,11/1/2017,2017,Nov,22,Fall,"4,077,203","1,250,601",30.70%,"$302,581 ",$0.24 ,"28,138",2.25%,"$8,057,307 ",$26.63 
23,BRAND,12/1/2017,2017,Dec,23,Fall,"6,263,310","2,069,389",33.00%,"$489,114 ",$0.24 ,"71,377",3.45%,"$16,301,993 ",$33.33 
